rank,studentPopulation,medianBaseSalary,studentFacultyRatio,totalStudentPop,undergradPop,totalGrantAid,percentOfStudentsFinAid,percentOfStudentsGrant
131,49966,112800,15,49966,38556,81922534,95,93
132,26527,117900,15,26527,21869,45896491,89,85
133,16032,121800,11,16032,9206,29292043,74,57
134,3098,130900,10,3098,3098,20812167,73,64
135,15403,117600,17,15403,12359,11965988,83,69
136,32840,114700,20,32840,26235,29534482,74,67
137,34495,114500,16,34495,25755,37489127,87,72
138,2482,140800,9,2482,2482,16272058,59,54
139,24039,115600,17,24039,21818,13089069,60,31
140,49755,120000,17,49755,35884,22926441,75,62
141,32541,109100,22,32541,28789,24046080,78,72
142,29687,123800,29,29687,27785,20019129,78,71
143,11506,112700,13,11506,9752,44462458,82,74
144,32916,112100,18,32916,24146,52159648,93,88
145,15412,120200,11,15412,6190,37315415,90,89
146,3277,117000,7,3277,2672,20203826,78,67
147,28607,103300,25,28607,24240,34217346,95,94
148,31445,109300,20,31445,23736,35474053,95,90
149,2150,133900,8,2150,2150,13463847,74,59
150,24381,107500,18,24381,20402,27686043,89,63
151,15633,115500,15,15633,10793,15372130,85,77
152,41909,114800,19,41909,34272,37108725,86,80
153,7137,117000,21,7137,6464,5859247,63,51
154,19139,128500,13,19139,10576,64695360,92,91
155,985,149400,8,985,881,7496561,100,100
156,35319,111600,18,35319,29246,38950588,93,86
157,6840,119300,14,6840,3846,25366314,96,96
158,37586,113600,18,37586,30839,18537198,88,80
159,12601,122600,13,12601,8855,50489177,100,100
160,2156,121400,9,2156,2099,16975381,96,95
161,38526,98400,18,38526,29221,39099419,94,92
162,2843,120000,9,2843,2624,18864897,99,99
163,15903,109700,16,15903,13499,46200374,96,95
164,19632,116500,15,19632,14614,77376398,95,93
165,30983,109100,17,30983,21552,32208701,85,76
166,42736,108200,28,42736,36736,42996701,87,83
167,2919,111700,9,2919,2743,17945322,94,93
168,27720,124200,11,27720,17108,96187904,100,100
169,5579,134400,11,5579,4366,21189139,85,78
170,26592,108300,23,26592,23528,29634510,88,84
171,7261,134400,10,7261,3402,21734418,100,100
172,24126,105100,17,24126,20521,17745820,91,90
173,66017,109200,19,66017,49971,66366116,84,77
174,2220,140400,9,2220,2220,15687185,89,88
175,4546,118100,10,4546,3374,27921673,99,99
176,1832,126500,9,1832,1832,11656060,74,71
177,8256,148200,17,8256,6888,48771095,88,88
178,2067,151800,10,2067,2022,13221482,99,98
179,10579,115000,13,10579,3861,19903186,96,96
180,9869,116200,17,9869,9628,6118795,73,52
181,2432,125300,9,2432,2432,18385899,99,99
182,2226,113000,8,2226,2217,13409893,83,81
183,1510,112800,13,1510,1510,14195248,100,99
184,23692,106900,17,23692,19231,22380280,92,88
185,8943,114200,13,8943,7596,8833028,82,51
186,7424,105200,13,7424,6458,14736683,73,68
187,1111,112500,9,1111,1111,4513364,40,36
188,7654,151200,13,7654,5165,28031500,100,99
189,30137,108700,19,30137,24838,21855127,87,84
190,4766,117300,11,4766,4087,26890105,99,99
191,35394,114500,16,35394,28930,38822168,92,87
192,12544,117800,15,12544,8750,54876592,97,95
193,6304,100400,14,6304,5372,5666469,84,75
194,1928,120700,9,1928,1928,16751060,98,97
195,10225,107300,12,10225,4876,25779810,100,100
196,2504,111100,9,2504,2326,13827541,74,72
197,12171,123900,12,12171,7173,30904033,90,90
198,35781,114500,17,35781,27365,50268332,90,81
199,1677,127300,8,1677,1677,11606520,91,89
200,32756,104400,16,32756,24633,57761910,95,93
201,1998,124600,8,1998,1998,15366897,99,99
202,2118,111900,10,2118,2118,15001428,85,84
203,14756,109100,9,14756,9802,64544919,98,98
204,21566,108000,17,21566,17946,16268086,91,91
205,42075,102900,13,42075,30861,47265447,91,86
206,4409,123400,12,4409,3243,6165967,88,79
207,3057,110600,9,3057,3038,23308919,87,85
208,2557,108100,9,2557,2041,5146274,42,33
209,35563,110700,14,35563,24935,34485031,78,63
210,2638,127600,10,2638,2638,22569847,92,90
211,35953,109800,26,35953,32212,32637412,85,80
212,18664,116600,25,18664,17604,14608874,74,65
213,25370,103700,16,25370,21684,16938356,82,60
214,37806,108100,16,37806,28641,32175829,81,67
215,46140,107000,19,46140,32766,25238162,93,91
216,3149,116800,12,3149,3149,27998697,99,99
217,18231,115200,13,18231,14744,65479856,99,98
218,8397,122700,11,8397,5413,31079162,100,100
219,17883,112800,18,17883,16791,16930172,87,80
220,37930,99800,22,37930,31632,27162923,87,82
221,20702,101200,13,20702,15160,9586881,72,61
222,32498,109100,16,32498,26359,40337626,93,85
223,8493,107700,23,8493,7494,7068099,81,74
224,4697,146900,13,4697,3193,30788988,100,100
225,8023,129000,10,8023,5086,23878727,98,97
226,8158,154300,12,8158,3753,29076665,99,99
227,1562,125900,9,1562,1537,9154498,60,56
228,19692,113900,14,19692,13878,60213922,99,98
229,4322,139000,11,4322,3661,24158670,100,100
230,18717,112100,26,18717,15329,10704095,85,80
231,24309,97600,16,24309,19151,30638509,87,82
232,10654,108000,12,10654,7988,44650554,89,85
233,32628,96100,18,32628,24766,40918621,83,73
234,8618,132000,19,8618,6629,12477615,99,97
235,7786,124400,13,7786,6296,17892362,99,99
236,12213,103100,22,12213,10762,13384037,92,88
237,5637,100400,14,5637,5210,8645601,100,100
238,3416,114500,10,3416,2654,12477403,94,85
239,2554,125300,10,2554,2490,24216619,97,97
